,poets,count,percentage,birth_year,death_year,period
496,汤悦,5,0.01164171459172507,-1,-1,唐
497,李璟,5,0.01164171459172507,916,961,晚唐
498,崔备,5,0.01164171459172507,-1,-1,唐
499,李正封,5,0.01164171459172507,-1,-1,唐
500,许景先,5,0.01164171459172507,-1,-1,唐
501,吕渭,5,0.01164171459172507,-1,-1,唐
502,韩熙载,5,0.01164171459172507,-1,-1,唐
503,李程,5,0.01164171459172507,-1,-1,唐
504,杨凝式,5,0.01164171459172507,873,954,晚唐
505,云台峰女仙,5,0.01164171459172507,-1,-1,唐
506,卢汝弼,5,0.01164171459172507,-1,-1,唐
507,慧净,5,0.01164171459172507,578,645,初唐
508,张萧远,5,0.01164171459172507,-1,-1,唐
509,陆长源,5,0.01164171459172507,-1,799,中唐
510,周匡物,5,0.01164171459172507,-1,-1,唐
511,文丙,5,0.01164171459172507,-1,-1,唐
512,杨嗣复,5,0.01164171459172507,783,848,中唐
513,袁朗,5,0.01164171459172507,-1,-1,唐
514,庾抱,5,0.01164171459172507,-1,-1,唐
515,公乘亿,5,0.01164171459172507,-1,-1,唐
516,郑綮,5,0.01164171459172507,-1,899,晚唐
517,欧阳玭,5,0.01164171459172507,-1,-1,唐
518,于邵,5,0.01164171459172507,-1,-1,唐
